"region","region_cd","year","agecat","pops","props"
"강원도 춘천시","4211000000",2008,"g1u14",45634,0.174192193911633
"강원도 춘천시","4211000000",2008,"g2o15",183935,0.702108979864491
"강원도 춘천시","4211000000",2008,"g3o65",32406,0.123698826223876
"강원도 춘천시","4211000000",2009,"g1u14",44732,0.168896238989009
"강원도 춘천시","4211000000",2009,"g2o15",186421,0.703876548523876
"강원도 춘천시","4211000000",2009,"g3o65",33696,0.127227212487115
"강원도 춘천시","4211000000",2010,"g1u14",43767,0.162130024078533
"강원도 춘천시","4211000000",2010,"g2o15",190799,0.706793850713095
"강원도 춘천시","4211000000",2010,"g3o65",35384,0.131076125208372
"강원도 춘천시","4211000000",2011,"g1u14",42749,0.156701673356427
"강원도 춘천시","4211000000",2011,"g2o15",193282,0.708498744524477
"강원도 춘천시","4211000000",2011,"g3o65",36774,0.134799582119096
"강원도 춘천시","4211000000",2012,"g1u14",41440,0.151592748130698
"강원도 춘천시","4211000000",2012,"g2o15",193646,0.708381498661126
"강원도 춘천시","4211000000",2012,"g3o65",38278,0.140025753208177
"강원도 춘천시","4211000000",2013,"g1u14",40280,0.146763586015922
"강원도 춘천시","4211000000",2013,"g2o15",194708,0.709435062214206
"강원도 춘천시","4211000000",2013,"g3o65",39467,0.143801351769871
"강원도 춘천시","4211000000",2014,"g1u14",39232,0.142252647838399
"강원도 춘천시","4211000000",2014,"g2o15",196183,0.711346635677016
"강원도 춘천시","4211000000",2014,"g3o65",40376,0.146400716484584
"강원도 춘천시","4211000000",2015,"g1u14",38263,0.137638175951539
"강원도 춘천시","4211000000",2015,"g2o15",198642,0.714547279287187
"강원도 춘천시","4211000000",2015,"g3o65",41092,0.147814544761274
"강원도 춘천시","4211000000",2016,"g1u14",37494,0.133569878912888
"강원도 춘천시","4211000000",2016,"g2o15",201514,0.717880209613583
"강원도 춘천시","4211000000",2016,"g3o65",41699,0.148549911473529
"강원도 춘천시","4211000000",2017,"g1u14",36395,0.129743969997932
"강원도 춘천시","4211000000",2017,"g2o15",200205,0.713707693733646
"강원도 춘천시","4211000000",2017,"g3o65",43914,0.156548336268422
"강원도 춘천시","4211000000",2018,"g1u14",35540,0.126639110604333
"강원도 춘천시","4211000000",2018,"g2o15",199568,0.711117445838084
"강원도 춘천시","4211000000",2018,"g3o65",45532,0.162243443557583
"강원도 춘천시","4211000000",2019,"g1u14",35008,0.124454746152561
"강원도 춘천시","4211000000",2019,"g2o15",198638,0.706165501206935
"강원도 춘천시","4211000000",2019,"g3o65",47645,0.169379752640504
