"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~4세","2017년_계_5~9세","2017년_계_10~14세","2017년_계_15~19세","2017년_계_20~24세","2017년_계_25~29세","2017년_계_30~34세","2017년_계_35~39세","2017년_계_40~44세","2017년_계_45~49세","2017년_계_50~54세","2017년_계_55~59세","2017년_계_60~64세","2017년_계_65~69세","2017년_계_70~74세","2017년_계_75~79세","2017년_계_80~84세","2017년_계_85~89세","2017년_계_90~94세","2017년_계_95~99세","2017년_계_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~4세","2017년_남_5~9세","2017년_남_10~14세","2017년_남_15~19세","2017년_남_20~24세","2017년_남_25~29세","2017년_남_30~34세","2017년_남_35~39세","2017년_남_40~44세","2017년_남_45~49세","2017년_남_50~54세","2017년_남_55~59세","2017년_남_60~64세","2017년_남_65~69세","2017년_남_70~74세","2017년_남_75~79세","2017년_남_80~84세","2017년_남_85~89세","2017년_남_90~94세","2017년_남_95~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~4세","2017년_여_5~9세","2017년_여_10~14세","2017년_여_15~19세","2017년_여_20~24세","2017년_여_25~29세","2017년_여_30~34세","2017년_여_35~39세","2017년_여_40~44세","2017년_여_45~49세","2017년_여_50~54세","2017년_여_55~59세","2017년_여_60~64세","2017년_여_65~69세","2017년_여_70~74세","2017년_여_75~79세","2017년_여_80~84세","2017년_여_85~89세","2017년_여_90~94세","2017년_여_95~99세","2017년_여_100세 이상","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~4세","2018년_계_5~9세","2018년_계_10~14세","2018년_계_15~19세","2018년_계_20~24세","2018년_계_25~29세","2018년_계_30~34세","2018년_계_35~39세","2018년_계_40~44세","2018년_계_45~49세","2018년_계_50~54세","2018년_계_55~59세","2018년_계_60~64세","2018년_계_65~69세","2018년_계_70~74세","2018년_계_75~79세","2018년_계_80~84세","2018년_계_85~89세","2018년_계_90~94세","2018년_계_95~99세","2018년_계_100세 이상","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~4세","2018년_남_5~9세","2018년_남_10~14세","2018년_남_15~19세","2018년_남_20~24세","2018년_남_25~29세","2018년_남_30~34세","2018년_남_35~39세","2018년_남_40~44세","2018년_남_45~49세","2018년_남_50~54세","2018년_남_55~59세","2018년_남_60~64세","2018년_남_65~69세","2018년_남_70~74세","2018년_남_75~79세","2018년_남_80~84세","2018년_남_85~89세","2018년_남_90~94세","2018년_남_95~99세","2018년_남_100세 이상","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~4세","2018년_여_5~9세","2018년_여_10~14세","2018년_여_15~19세","2018년_여_20~24세","2018년_여_25~29세","2018년_여_30~34세","2018년_여_35~39세","2018년_여_40~44세","2018년_여_45~49세","2018년_여_50~54세","2018년_여_55~59세","2018년_여_60~64세","2018년_여_65~69세","2018년_여_70~74세","2018년_여_75~79세","2018년_여_80~84세","2018년_여_85~89세","2018년_여_90~94세","2018년_여_95~99세","2018년_여_100세 이상","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~4세","2019년_계_5~9세","2019년_계_10~14세","2019년_계_15~19세","2019년_계_20~24세","2019년_계_25~29세","2019년_계_30~34세","2019년_계_35~39세","2019년_계_40~44세","2019년_계_45~49세","2019년_계_50~54세","2019년_계_55~59세","2019년_계_60~64세","2019년_계_65~69세","2019년_계_70~74세","2019년_계_75~79세","2019년_계_80~84세","2019년_계_85~89세","2019년_계_90~94세","2019년_계_95~99세","2019년_계_100세 이상","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~4세","2019년_남_5~9세","2019년_남_10~14세","2019년_남_15~19세","2019년_남_20~24세","2019년_남_25~29세","2019년_남_30~34세","2019년_남_35~39세","2019년_남_40~44세","2019년_남_45~49세","2019년_남_50~54세","2019년_남_55~59세","2019년_남_60~64세","2019년_남_65~69세","2019년_남_70~74세","2019년_남_75~79세","2019년_남_80~84세","2019년_남_85~89세","2019년_남_90~94세","2019년_남_95~99세","2019년_남_100세 이상","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~4세","2019년_여_5~9세","2019년_여_10~14세","2019년_여_15~19세","2019년_여_20~24세","2019년_여_25~29세","2019년_여_30~34세","2019년_여_35~39세","2019년_여_40~44세","2019년_여_45~49세","2019년_여_50~54세","2019년_여_55~59세","2019년_여_60~64세","2019년_여_65~69세","2019년_여_70~74세","2019년_여_75~79세","2019년_여_80~84세","2019년_여_85~89세","2019년_여_90~94세","2019년_여_95~99세","2019년_여_100세 이상"
"강원도  (4200000000)","1,550,142","1,550,142","52,651","64,075","67,679","89,267","102,126","83,788","79,377","100,811","111,426","130,790","125,042","145,797","117,337","77,070","69,535","66,086","39,372","18,490","7,000","1,726","697","780,635","780,635","26,942","32,893","35,219","46,973","57,167","47,381","42,195","51,383","57,106","68,493","64,662","73,133","59,090","36,868","31,826","27,639","14,298","4,983","1,741","443","200","769,507","769,507","25,709","31,182","32,460","42,294","44,959","36,407","37,182","49,428","54,320","62,297","60,380","72,664","58,247","40,202","37,709","38,447","25,074","13,507","5,259","1,283","497","1,543,052","1,543,052","50,000","62,664","65,948","84,112","98,929","83,962","75,791","99,787","105,296","128,700","127,837","143,798","126,842","80,305","70,180","66,370","42,777","19,546","7,509","1,988","711","776,456","776,456","25,547","32,092","34,262","44,084","54,947","47,634","40,440","50,908","53,891","67,354","66,127","72,357","63,954","38,765","32,452","27,824","15,881","5,435","1,757","538","207","766,596","766,596","24,453","30,572","31,686","40,028","43,982","36,328","35,351","48,879","51,405","61,346","61,710","71,441","62,888","41,540","37,728","38,546","26,896","14,111","5,752","1,450","504","1,541,502","1,541,502","47,889","61,667","64,576","79,223","95,994","85,108","75,113","95,556","102,290","126,002","130,059","140,529","134,610","88,478","69,873","66,118","46,187","21,143","8,220","2,073","794","775,386","775,386","24,465","31,613","33,426","41,535","53,183","48,287","40,124","48,951","52,159","65,663","67,254","71,243","67,622","43,139","32,715","27,943","17,494","5,959","1,813","550","248","766,116","766,116","23,424","30,054","31,150","37,688","42,811","36,821","34,989","46,605","50,131","60,339","62,805","69,286","66,988","45,339","37,158","38,175","28,693","15,184","6,407","1,523","546"
"강원도 춘천시 (4211000000)","280,514","280,514","10,592","12,680","13,123","17,103","19,555","16,863","16,096","19,977","20,644","24,437","22,233","24,101","19,196","11,398","11,051","10,486","6,407","3,014","1,159","297","102","138,159","138,159","5,416","6,580","6,819","8,974","10,170","8,901","8,240","9,906","10,066","12,344","11,295","11,702","9,449","5,277","5,003","4,341","2,365","884","301","90","36","142,355","142,355","5,176","6,100","6,304","8,129","9,385","7,962","7,856","10,071","10,578","12,093","10,938","12,399","9,747","6,121","6,048","6,145","4,042","2,130","858","207","66","280,640","280,640","10,024","12,610","12,906","16,246","19,333","17,185","15,537","19,978","19,797","24,081","22,873","23,821","20,717","12,072","11,051","10,523","6,996","3,187","1,287","317","99","138,243","138,243","5,099","6,484","6,718","8,465","10,122","9,126","7,916","9,959","9,688","12,153","11,590","11,629","10,210","5,675","4,978","4,384","2,623","985","300","100","39","142,397","142,397","4,925","6,126","6,188","7,781","9,211","8,059","7,621","10,019","10,109","11,928","11,283","12,192","10,507","6,397","6,073","6,139","4,373","2,202","987","217","60","281,291","281,291","9,676","12,596","12,736","15,238","19,213","17,752","15,528","19,313","19,367","23,460","23,283","23,715","21,769","13,581","10,750","10,494","7,507","3,434","1,433","336","110","138,700","138,700","4,927","6,481","6,602","7,955","10,120","9,494","7,949","9,672","9,479","11,783","11,744","11,700","10,646","6,496","4,872","4,392","2,859","1,060","324","99","46","142,591","142,591","4,749","6,115","6,134","7,283","9,093","8,258","7,579","9,641","9,888","11,677","11,539","12,015","11,123","7,085","5,878","6,102","4,648","2,374","1,109","237","64"
"강원도 원주시 (4213000000)","341,337","341,337","13,342","16,506","17,342","21,398","23,601","20,262","20,235","25,352","27,704","31,210","28,299","29,755","21,085","12,880","10,801","10,554","6,466","3,145","1,065","242","93","169,742","169,742","6,825","8,396","9,023","11,174","12,622","10,658","10,420","12,582","13,525","15,804","14,314","14,882","10,702","6,147","4,860","4,283","2,324","833","293","52","23","171,595","171,595","6,517","8,110","8,319","10,224","10,979","9,604","9,815","12,770","14,179","15,406","13,985","14,873","10,383","6,733","5,941","6,271","4,142","2,312","772","190","70","344,070","344,070","12,754","16,283","17,183","20,432","23,390","20,977","19,626","25,687","26,441","31,226","29,428","29,975","23,468","13,620","10,929","10,644","7,079","3,338","1,209","292","89","171,048","171,048","6,515","8,266","8,909","10,662","12,461","11,110","10,120","12,747","13,028","15,646","14,837","15,067","11,853","6,511","5,045","4,332","2,584","959","301","74","21","173,022","173,022","6,239","8,017","8,274","9,770","10,929","9,867","9,506","12,940","13,413","15,580","14,591","14,908","11,615","7,109","5,884","6,312","4,495","2,379","908","218","68","349,215","349,215","12,564","16,237","17,194","19,573","23,175","21,853","20,078","25,198","26,287","31,114","30,421","29,747","25,791","15,380","11,004","10,510","7,686","3,671","1,327","299","106","173,425","173,425","6,453","8,214","8,895","10,220","12,363","11,542","10,333","12,607","12,967","15,463","15,285","14,987","12,880","7,462","5,103","4,355","2,861","1,040","296","78","21","175,790","175,790","6,111","8,023","8,299","9,353","10,812","10,311","9,745","12,591","13,320","15,651","15,136","14,760","12,911","7,918","5,901","6,155","4,825","2,631","1,031","221","85"
"강원도 강릉시 (4215000000)","213,952","213,952","6,577","8,420","9,423","12,681","14,421","10,709","10,129","13,722","16,145","18,425","17,084","19,985","16,447","11,493","10,032","8,874","5,415","2,607","1,022","260","81","106,286","106,286","3,389","4,339","4,976","6,636","7,917","5,975","5,342","6,901","8,203","9,508","8,635","9,763","7,927","5,411","4,624","3,747","1,999","707","214","53","20","107,666","107,666","3,188","4,081","4,447","6,045","6,504","4,734","4,787","6,821","7,942","8,917","8,449","10,222","8,520","6,082","5,408","5,127","3,416","1,900","808","207","61","212,957","212,957","6,222","8,290","9,027","11,895","14,150","10,897","9,701","13,439","15,023","18,411","17,503","19,695","17,490","11,853","10,304","8,939","5,870","2,782","1,074","299","93","105,697","105,697","3,201","4,302","4,762","6,190","7,670","6,106","5,208","6,777","7,585","9,543","8,841","9,633","8,480","5,554","4,767","3,785","2,211","775","223","64","20","107,260","107,260","3,021","3,988","4,265","5,705","6,480","4,791","4,493","6,662","7,438","8,868","8,662","10,062","9,010","6,299","5,537","5,154","3,659","2,007","851","235","73","213,442","213,442","6,017","8,020","8,833","11,381","14,012","11,389","9,507","12,787","14,624","18,308","17,781","19,079","18,591","12,816","10,345","9,086","6,293","2,969","1,200","304","100","105,893","105,893","3,099","4,175","4,607","5,971","7,496","6,398","5,134","6,455","7,386","9,477","8,992","9,423","9,006","6,008","4,805","3,875","2,391","865","244","59","27","107,549","107,549","2,918","3,845","4,226","5,410","6,516","4,991","4,373","6,332","7,238","8,831","8,789","9,656","9,585","6,808","5,540","5,211","3,902","2,104","956","245","73"
"강원도 동해시 (4217000000)","92,851","92,851","3,463","4,188","4,439","5,509","5,833","4,111","4,542","6,385","7,450","8,342","7,388","8,365","6,955","4,767","4,030","3,611","2,077","972","321","73","30","47,067","47,067","1,783","2,176","2,316","2,886","3,424","2,335","2,442","3,238","3,914","4,392","3,836","4,108","3,430","2,306","1,847","1,542","761","239","64","21","7","45,784","45,784","1,680","2,012","2,123","2,623","2,409","1,776","2,100","3,147","3,536","3,950","3,552","4,257","3,525","2,461","2,183","2,069","1,316","733","257","52","23","91,272","91,272","3,172","4,134","4,271","5,200","5,433","4,198","4,024","6,071","6,991","8,245","7,543","8,178","7,286","4,903","4,209","3,700","2,246","1,012","334","96","26","46,212","46,212","1,624","2,111","2,237","2,718","3,191","2,443","2,174","3,090","3,634","4,335","3,942","4,071","3,516","2,388","1,950","1,565","881","246","68","20","8","45,060","45,060","1,548","2,023","2,034","2,482","2,242","1,755","1,850","2,981","3,357","3,910","3,601","4,107","3,770","2,515","2,259","2,135","1,365","766","266","76","18","90,522","90,522","2,824","4,052","4,183","4,901","5,217","4,220","3,827","5,728","6,668","8,229","7,792","7,914","7,629","5,332","4,160","3,822","2,392","1,138","356","109","29","45,845","45,845","1,436","2,107","2,159","2,578","3,038","2,487","2,062","2,956","3,407","4,377","4,038","4,022","3,685","2,552","1,966","1,621","939","309","74","22","10","44,677","44,677","1,388","1,945","2,024","2,323","2,179","1,733","1,765","2,772","3,261","3,852","3,754","3,892","3,944","2,780","2,194","2,201","1,453","829","282","87","19"
"강원도 태백시 (4219000000)","45,888","45,888","1,388","1,979","1,895","2,530","2,520","1,739","1,957","3,114","3,425","3,814","3,577","4,381","3,943","3,044","2,503","2,210","1,189","422","158","53","47","23,196","23,196","724","972","967","1,421","1,384","948","1,041","1,585","1,864","2,096","1,891","2,211","1,958","1,431","1,129","941","454","107","34","18","20","22,692","22,692","664","1,007","928","1,109","1,136","791","916","1,529","1,561","1,718","1,686","2,170","1,985","1,613","1,374","1,269","735","315","124","35","27","44,858","44,858","1,275","1,838","1,859","2,463","2,401","1,666","1,691","2,909","3,243","3,709","3,657","4,186","4,021","3,081","2,569","2,269","1,269","475","164","64","49","22,612","22,612","649","909","944","1,373","1,325","902","897","1,487","1,732","2,012","1,959","2,136","2,012","1,451","1,142","982","483","142","35","20","20","22,246","22,246","626","929","915","1,090","1,076","764","794","1,422","1,511","1,697","1,698","2,050","2,009","1,630","1,427","1,287","786","333","129","44","29","43,866","43,866","1,128","1,734","1,826","2,234","2,268","1,591","1,609","2,615","3,118","3,537","3,706","3,904","4,272","3,211","2,594","2,259","1,405","554","176","69","56","22,168","22,168","585","871","936","1,203","1,283","890","873","1,345","1,652","1,907","2,001","2,034","2,134","1,511","1,171","986","535","177","36","14","24","21,698","21,698","543","863","890","1,031","985","701","736","1,270","1,466","1,630","1,705","1,870","2,138","1,700","1,423","1,273","870","377","140","55","32"
"강원도 속초시 (4221000000)","82,273","82,273","2,838","3,333","3,667","4,958","5,020","4,150","4,120","5,554","6,069","7,684","7,181","7,958","6,277","3,855","3,473","2,976","1,794","894","369","78","25","40,531","40,531","1,422","1,667","1,892","2,566","2,768","2,332","2,197","2,784","3,025","3,799","3,597","3,829","3,159","1,782","1,526","1,229","625","213","83","29","7","41,742","41,742","1,416","1,666","1,775","2,392","2,252","1,818","1,923","2,770","3,044","3,885","3,584","4,129","3,118","2,073","1,947","1,747","1,169","681","286","49","18","81,682","81,682","2,739","3,313","3,533","4,668","4,932","4,016","3,992","5,456","5,701","7,377","7,278","7,923","6,802","4,036","3,542","3,029","1,909","908","412","90","26","40,248","40,248","1,374","1,667","1,814","2,423","2,712","2,249","2,168","2,771","2,839","3,700","3,607","3,804","3,391","1,899","1,546","1,271","664","214","86","39","10","41,434","41,434","1,365","1,646","1,719","2,245","2,220","1,767","1,824","2,685","2,862","3,677","3,671","4,119","3,411","2,137","1,996","1,758","1,245","694","326","51","16","81,786","81,786","2,638","3,323","3,348","4,424","4,736","4,176","4,035","5,257","5,559","7,091","7,440","7,779","7,164","4,515","3,638","3,067","2,037","943","490","93","33","40,420","40,420","1,342","1,658","1,711","2,315","2,643","2,384","2,154","2,763","2,746","3,525","3,713","3,757","3,548","2,130","1,635","1,281","733","233","99","37","13","41,366","41,366","1,296","1,665","1,637","2,109","2,093","1,792","1,881","2,494","2,813","3,566","3,727","4,022","3,616","2,385","2,003","1,786","1,304","710","391","56","20"
"강원도 삼척시 (4223000000)","68,514","68,514","1,953","2,413","2,478","3,977","5,555","2,944","2,857","3,881","4,584","5,309","5,268","6,686","5,516","4,173","3,589","3,489","2,260","1,093","370","79","40","34,638","34,638","1,009","1,258","1,280","2,138","3,008","1,719","1,555","2,056","2,542","2,977","2,810","3,385","2,733","2,030","1,625","1,350","784","284","71","13","11","33,876","33,876","944","1,155","1,198","1,839","2,547","1,225","1,302","1,825","2,042","2,332","2,458","3,301","2,783","2,143","1,964","2,139","1,476","809","299","66","29","68,326","68,326","1,924","2,386","2,417","3,595","5,341","2,993","2,843","3,854","4,401","5,302","5,421","6,565","5,803","4,236","3,658","3,491","2,415","1,146","406","84","45","34,587","34,587","1,003","1,249","1,257","1,920","2,901","1,756","1,529","2,057","2,404","3,007","2,900","3,332","2,913","2,101","1,688","1,345","831","291","75","16","12","33,739","33,739","921","1,137","1,160","1,675","2,440","1,237","1,314","1,797","1,997","2,295","2,521","3,233","2,890","2,135","1,970","2,146","1,584","855","331","68","33","67,228","67,228","1,834","2,305","2,370","3,240","5,056","2,879","2,691","3,653","4,114","5,218","5,505","6,262","6,097","4,459","3,704","3,496","2,511","1,264","430","94","46","34,038","34,038","914","1,198","1,254","1,704","2,755","1,678","1,437","1,942","2,235","2,960","2,987","3,228","3,033","2,227","1,768","1,366","903","338","82","17","12","33,190","33,190","920","1,107","1,116","1,536","2,301","1,201","1,254","1,711","1,879","2,258","2,518","3,034","3,064","2,232","1,936","2,130","1,608","926","348","77","34"
"강원도 홍천군 (4272000000)","70,340","70,340","2,044","2,492","2,605","3,548","3,696","3,377","3,155","3,731","4,263","5,231","5,908","7,710","6,681","4,293","3,727","3,799","2,455","1,089","400","95","41","35,855","35,855","1,045","1,245","1,336","1,845","2,070","1,964","1,772","1,976","2,300","2,802","3,131","3,925","3,465","2,234","1,762","1,650","887","290","123","23","10","34,485","34,485","999","1,247","1,269","1,703","1,626","1,413","1,383","1,755","1,963","2,429","2,777","3,785","3,216","2,059","1,965","2,149","1,568","799","277","72","31","69,949","69,949","2,002","2,399","2,486","3,328","3,518","3,278","2,991","3,729","3,969","5,032","5,880","7,513","7,418","4,519","3,768","3,704","2,692","1,160","419","109","35","35,671","35,671","1,031","1,203","1,250","1,745","1,961","1,950","1,668","1,952","2,138","2,708","3,120","3,819","3,871","2,360","1,830","1,577","1,019","311","121","31","6","34,278","34,278","971","1,196","1,236","1,583","1,557","1,328","1,323","1,777","1,831","2,324","2,760","3,694","3,547","2,159","1,938","2,127","1,673","849","298","78","29","69,150","69,150","1,808","2,253","2,440","3,089","3,418","3,165","2,873","3,457","3,759","4,808","5,801","7,323","7,783","5,045","3,798","3,546","2,845","1,335","452","115","37","35,359","35,359","936","1,097","1,262","1,596","1,945","1,893","1,623","1,813","1,982","2,631","3,049","3,784","4,062","2,653","1,876","1,541","1,100","350","123","35","8","33,791","33,791","872","1,156","1,178","1,493","1,473","1,272","1,250","1,644","1,777","2,177","2,752","3,539","3,721","2,392","1,922","2,005","1,745","985","329","80","29"
"강원도 횡성군 (4273000000)","46,281","46,281","1,059","1,399","1,546","2,485","2,386","1,818","1,752","2,168","2,430","3,371","3,816","5,342","4,684","3,155","2,829","2,892","1,821","888","330","86","24","23,541","23,541","533","722","800","1,333","1,271","1,014","954","1,132","1,371","1,865","2,047","2,719","2,444","1,617","1,374","1,305","684","243","92","15","6","22,740","22,740","526","677","746","1,152","1,115","804","798","1,036","1,059","1,506","1,769","2,623","2,240","1,538","1,455","1,587","1,137","645","238","71","18","46,726","46,726","1,039","1,364","1,544","2,283","2,408","1,837","1,666","2,187","2,328","3,290","3,890","5,278","5,167","3,338","2,883","2,833","1,991","927","349","100","24","23,828","23,828","541","693","802","1,203","1,302","1,036","911","1,154","1,283","1,826","2,089","2,728","2,648","1,753","1,434","1,262","796","239","95","25","8","22,898","22,898","498","671","742","1,080","1,106","801","755","1,033","1,045","1,464","1,801","2,550","2,519","1,585","1,449","1,571","1,195","688","254","75","16","46,575","46,575","1,002","1,289","1,509","2,184","2,209","1,836","1,610","2,040","2,188","3,097","3,955","5,090","5,577","3,760","2,858","2,791","2,104","977","377","92","30","23,785","23,785","523","665","775","1,153","1,220","1,041","855","1,079","1,219","1,690","2,116","2,644","2,895","1,973","1,454","1,253","857","253","85","23","12","22,790","22,790","479","624","734","1,031","989","795","755","961","969","1,407","1,839","2,446","2,682","1,787","1,404","1,538","1,247","724","292","69","18"
