"행정구역","2011년_총인구수","2011년_세대수","2011년_세대당 인구","2011년_남자 인구수","2011년_여자 인구수","2011년_남여 비율","2012년_총인구수","2012년_세대수","2012년_세대당 인구","2012년_남자 인구수","2012년_여자 인구수","2012년_남여 비율","2013년_총인구수","2013년_세대수","2013년_세대당 인구","2013년_남자 인구수","2013년_여자 인구수","2013년_남여 비율","2014년_총인구수","2014년_세대수","2014년_세대당 인구","2014년_남자 인구수","2014년_여자 인구수","2014년_남여 비율","2015년_총인구수","2015년_세대수","2015년_세대당 인구","2015년_남자 인구수","2015년_여자 인구수","2015년_남여 비율","2016년_총인구수","2016년_세대수","2016년_세대당 인구","2016년_남자 인구수","2016년_여자 인구수","2016년_남여 비율","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율"
"강원도  (4200000000)","1,536,448","648,649","          2.37","773,278","763,170","          1.01","1,538,630","655,301","          2.35","774,273","764,357","          1.01","1,542,263","664,913","          2.32","776,498","765,765","          1.01","1,544,442","673,978","          2.29","778,007","766,435","          1.02","1,549,507","685,005","          2.26","781,434","768,073","          1.02","1,550,806","692,254","          2.24","781,146","769,660","          1.01","1,550,142","700,265","          2.21","780,635","769,507","          1.01","1,543,052","707,245","          2.18","776,456","766,596","          1.01","1,541,502","719,524","          2.14","775,386","766,116","          1.01","1,542,840","736,301","          2.10","776,505","766,335","          1.01"
"강원도 춘천시 (4211000000)","272,805","110,075","          2.48","134,600","138,205","          0.97","273,364","110,596","          2.47","134,874","138,490","          0.97","274,455","111,313","          2.47","135,377","139,078","          0.97","275,791","113,095","          2.44","136,017","139,774","          0.97","277,997","115,044","          2.42","136,974","141,023","          0.97","280,707","117,014","          2.40","138,251","142,456","          0.97","280,514","118,450","          2.37","138,159","142,355","          0.97","280,640","120,190","          2.33","138,243","142,397","          0.97","281,291","123,006","          2.29","138,700","142,591","          0.97","282,765","126,685","          2.23","139,576","143,189","          0.97"
"강원도 원주시 (4213000000)","320,536","128,436","          2.50","159,522","161,014","          0.99","323,885","130,617","          2.48","161,117","162,768","          0.99","324,837","132,207","          2.46","161,588","163,249","          0.99","327,292","134,487","          2.43","162,734","164,558","          0.99","332,995","138,380","          2.41","165,547","167,448","          0.99","337,979","142,136","          2.38","167,854","170,125","          0.99","341,337","145,521","          2.35","169,742","171,595","          0.99","344,070","149,166","          2.31","171,048","173,022","          0.99","349,215","154,583","          2.26","173,425","175,790","          0.99","354,376","160,307","          2.21","175,939","178,437","          0.99"
"강원도 강릉시 (4215000000)","217,571","90,090","          2.42","108,294","109,277","          0.99","217,741","91,332","          2.38","108,318","109,423","          0.99","216,806","92,412","          2.35","107,689","109,117","          0.99","215,807","93,007","          2.32","107,149","108,658","          0.99","214,560","93,774","          2.29","106,545","108,015","          0.99","213,846","94,781","          2.26","106,231","107,615","          0.99","213,952","95,963","          2.23","106,286","107,666","          0.99","212,957","96,859","          2.20","105,697","107,260","          0.99","213,442","99,086","          2.15","105,893","107,549","          0.98","213,321","101,424","          2.10","105,794","107,527","          0.98"
"강원도 동해시 (4217000000)","95,804","39,411","          2.43","48,289","47,515","          1.02","93,897","39,002","          2.41","47,387","46,510","          1.02","95,143","40,093","          2.37","48,104","47,039","          1.02","94,562","40,208","          2.35","47,850","46,712","          1.02","93,895","40,338","          2.33","47,503","46,392","          1.02","93,297","40,468","          2.31","47,166","46,131","          1.02","92,851","40,730","          2.28","47,067","45,784","          1.03","91,272","40,784","          2.24","46,212","45,060","          1.03","90,522","41,141","          2.20","45,845","44,677","          1.03","90,593","42,306","          2.14","45,991","44,602","          1.03"
"강원도 태백시 (4219000000)","50,176","22,230","          2.26","25,520","24,656","          1.04","49,493","22,258","          2.22","25,123","24,370","          1.03","48,794","22,204","          2.20","24,783","24,011","          1.03","48,258","22,352","          2.16","24,509","23,749","          1.03","47,501","22,293","          2.13","24,128","23,373","          1.03","47,070","22,265","          2.11","23,899","23,171","          1.03","45,888","21,889","          2.10","23,196","22,692","          1.02","44,858","21,832","          2.05","22,612","22,246","          1.02","43,866","21,798","          2.01","22,168","21,698","          1.02","42,719","21,588","          1.98","21,640","21,079","          1.03"
"강원도 속초시 (4221000000)","83,745","36,579","          2.29","41,260","42,485","          0.97","83,579","36,745","          2.27","41,165","42,414","          0.97","83,109","36,946","          2.25","40,929","42,180","          0.97","82,432","37,032","          2.23","40,590","41,842","          0.97","81,992","37,084","          2.21","40,377","41,615","          0.97","81,793","37,193","          2.20","40,288","41,505","          0.97","82,273","37,772","          2.18","40,531","41,742","          0.97","81,682","37,993","          2.15","40,248","41,434","          0.97","81,786","38,689","          2.11","40,420","41,366","          0.98","82,665","39,932","          2.07","40,965","41,700","          0.98"
"강원도 삼척시 (4223000000)","72,312","33,388","          2.17","36,681","35,631","          1.03","72,463","34,066","          2.13","36,847","35,616","          1.03","73,023","35,362","          2.07","37,384","35,639","          1.05","72,314","35,204","          2.05","36,940","35,374","          1.04","70,839","34,601","          2.05","36,000","34,839","          1.03","69,599","34,147","          2.04","35,253","34,346","          1.03","68,514","33,863","          2.02","34,638","33,876","          1.02","68,326","34,227","          2.00","34,587","33,739","          1.03","67,228","34,082","          1.97","34,038","33,190","          1.03","65,243","33,635","          1.94","33,011","32,232","          1.02"
"강원도 홍천군 (4272000000)","69,899","29,648","          2.36","35,639","34,260","          1.04","69,727","29,894","          2.33","35,548","34,179","          1.04","70,638","30,885","          2.29","36,181","34,457","          1.05","70,451","31,183","          2.26","35,996","34,455","          1.04","70,336","31,443","          2.24","35,906","34,430","          1.04","70,076","31,851","          2.20","35,738","34,338","          1.04","70,340","32,467","          2.17","35,855","34,485","          1.04","69,949","32,760","          2.14","35,671","34,278","          1.04","69,150","33,142","          2.09","35,359","33,791","          1.05","69,242","34,187","          2.03","35,663","33,579","          1.06"
"강원도 횡성군 (4273000000)","44,360","19,160","          2.32","22,576","21,784","          1.04","44,615","19,461","          2.29","22,676","21,939","          1.03","44,937","19,960","          2.25","22,866","22,071","          1.04","45,373","20,348","          2.23","23,019","22,354","          1.03","45,777","20,821","          2.20","23,260","22,517","          1.03","45,991","21,283","          2.16","23,398","22,593","          1.04","46,281","21,777","          2.13","23,541","22,740","          1.04","46,726","22,411","          2.08","23,828","22,898","          1.04","46,575","22,832","          2.04","23,785","22,790","          1.04","46,472","23,276","          2.00","23,822","22,650","          1.05"
"강원도 영월군 (4275000000)","40,199","18,668","          2.15","20,480","19,719","          1.04","40,155","18,881","          2.13","20,448","19,707","          1.04","40,150","19,111","          2.10","20,478","19,672","          1.04","40,191","19,597","          2.05","20,581","19,610","          1.05","40,216","19,990","          2.01","20,691","19,525","          1.06","40,073","20,255","          1.98","20,652","19,421","          1.06","40,067","20,715","          1.93","20,639","19,428","          1.06","39,730","21,011","          1.89","20,493","19,237","          1.07","39,127","21,044","          1.86","20,143","18,984","          1.06","38,662","21,246","          1.82","19,986","18,676","          1.07"
"강원도 평창군 (4276000000)","43,577","19,569","          2.23","22,334","21,243","          1.05","43,627","19,783","          2.21","22,305","21,322","          1.05","43,666","20,030","          2.18","22,298","21,368","          1.04","43,660","20,279","          2.15","22,257","21,403","          1.04","43,500","20,601","          2.11","22,204","21,296","          1.04","43,318","20,745","          2.09","22,126","21,192","          1.04","43,092","21,008","          2.05","22,021","21,071","          1.05","42,610","21,172","          2.01","21,771","20,839","          1.04","42,106","21,379","          1.97","21,550","20,556","          1.05","41,681","21,618","          1.93","21,321","20,360","          1.05"
