"region","region_cd","g1u14","g2o15","g3o65","total","BJD_CD","EMD_CD"
"강원도 춘천시","4211000000",34512,197720,50312,282429,"4211000000","42110000"
"강원도 춘천시 신북읍","4211025000",536,4894,2250,7676,"4211025000","42110250"
"강원도 춘천시 신북읍","4211025000",536,4894,2250,7676,"4211025021","42110250"
"강원도 춘천시 신북읍","4211025000",536,4894,2250,7676,"4211025022","42110250"
"강원도 춘천시 신북읍","4211025000",536,4894,2250,7676,"4211025023","42110250"
"강원도 춘천시 신북읍","4211025000",536,4894,2250,7676,"4211025024","42110250"
"강원도 춘천시 신북읍","4211025000",536,4894,2250,7676,"4211025025","42110250"
"강원도 춘천시 신북읍","4211025000",536,4894,2250,7676,"4211025026","42110250"
"강원도 춘천시 신북읍","4211025000",536,4894,2250,7676,"4211025027","42110250"
"강원도 춘천시 동면","4211031000",3578,13526,2534,19635,"4211031000","42110310"
"강원도 춘천시 동면","4211031000",3578,13526,2534,19635,"4211031021","42110310"
"강원도 춘천시 동면","4211031000",3578,13526,2534,19635,"4211031022","42110310"
"강원도 춘천시 동면","4211031000",3578,13526,2534,19635,"4211031023","42110310"
"강원도 춘천시 동면","4211031000",3578,13526,2534,19635,"4211031024","42110310"
"강원도 춘천시 동면","4211031000",3578,13526,2534,19635,"4211031025","42110310"
"강원도 춘천시 동면","4211031000",3578,13526,2534,19635,"4211031026","42110310"
"강원도 춘천시 동면","4211031000",3578,13526,2534,19635,"4211031027","42110310"
"강원도 춘천시 동면","4211031000",3578,13526,2534,19635,"4211031028","42110310"
"강원도 춘천시 동면","4211031000",3578,13526,2534,19635,"4211031029","42110310"
"강원도 춘천시 동면","4211031000",3578,13526,2534,19635,"4211031030","42110310"
"강원도 춘천시 동산면","4211032000",55,840,578,1472,"4211032000","42110320"
"강원도 춘천시 동산면","4211032000",55,840,578,1472,"4211032021","42110320"
"강원도 춘천시 동산면","4211032000",55,840,578,1472,"4211032022","42110320"
"강원도 춘천시 동산면","4211032000",55,840,578,1472,"4211032023","42110320"
"강원도 춘천시 동산면","4211032000",55,840,578,1472,"4211032024","42110320"
"강원도 춘천시 신동면","4211033000",172,1618,772,2561,"4211033000","42110330"
"강원도 춘천시 신동면","4211033000",172,1618,772,2561,"4211033021","42110330"
"강원도 춘천시 신동면","4211033000",172,1618,772,2561,"4211033022","42110330"
"강원도 춘천시 신동면","4211033000",172,1618,772,2561,"4211033023","42110330"
"강원도 춘천시 신동면","4211033000",172,1618,772,2561,"4211033024","42110330"
"강원도 춘천시 신동면","4211033000",172,1618,772,2561,"4211033025","42110330"
"강원도 춘천시 남면","4211034000",42,574,470,1085,"4211034000","42110340"
"강원도 춘천시 남면","4211034000",42,574,470,1085,"4211034021","42110340"
"강원도 춘천시 남면","4211034000",42,574,470,1085,"4211034022","42110340"
"강원도 춘천시 남면","4211034000",42,574,470,1085,"4211034023","42110340"
"강원도 춘천시 남면","4211034000",42,574,470,1085,"4211034024","42110340"
"강원도 춘천시 남면","4211034000",42,574,470,1085,"4211034025","42110340"
"강원도 춘천시 남면","4211034000",42,574,470,1085,"4211034026","42110340"
"강원도 춘천시 남면","4211034000",42,574,470,1085,"4211034027","42110340"
"강원도 춘천시 서면","4211035000",199,2172,1497,3860,"4211035000","42110350"
"강원도 춘천시 서면","4211035000",199,2172,1497,3860,"4211035021","42110350"
"강원도 춘천시 서면","4211035000",199,2172,1497,3860,"4211035022","42110350"
"강원도 춘천시 서면","4211035000",199,2172,1497,3860,"4211035023","42110350"
"강원도 춘천시 서면","4211035000",199,2172,1497,3860,"4211035024","42110350"
"강원도 춘천시 서면","4211035000",199,2172,1497,3860,"4211035025","42110350"
"강원도 춘천시 서면","4211035000",199,2172,1497,3860,"4211035026","42110350"
"강원도 춘천시 서면","4211035000",199,2172,1497,3860,"4211035027","42110350"
"강원도 춘천시 서면","4211035000",199,2172,1497,3860,"4211035028","42110350"
"강원도 춘천시 서면","4211035000",199,2172,1497,3860,"4211035029","42110350"
"강원도 춘천시 서면","4211035000",199,2172,1497,3860,"4211035030","42110350"
"강원도 춘천시 사북면","4211036000",129,1467,961,2556,"4211036000","42110360"
"강원도 춘천시 사북면","4211036000",129,1467,961,2556,"4211036021","42110360"
"강원도 춘천시 사북면","4211036000",129,1467,961,2556,"4211036022","42110360"
"강원도 춘천시 사북면","4211036000",129,1467,961,2556,"4211036023","42110360"
"강원도 춘천시 사북면","4211036000",129,1467,961,2556,"4211036024","42110360"
"강원도 춘천시 사북면","4211036000",129,1467,961,2556,"4211036025","42110360"
"강원도 춘천시 사북면","4211036000",129,1467,961,2556,"4211036026","42110360"
"강원도 춘천시 사북면","4211036000",129,1467,961,2556,"4211036027","42110360"
"강원도 춘천시 사북면","4211036000",129,1467,961,2556,"4211036028","42110360"
"강원도 춘천시 사북면","4211036000",129,1467,961,2556,"4211036029","42110360"
"강원도 춘천시 사북면","4211036000",129,1467,961,2556,"4211036030","42110360"
"강원도 춘천시 북산면","4211038000",27,503,428,957,"4211038000","42110380"
"강원도 춘천시 북산면","4211038000",27,503,428,957,"4211038021","42110380"
"강원도 춘천시 북산면","4211038000",27,503,428,957,"4211038022","42110380"
"강원도 춘천시 북산면","4211038000",27,503,428,957,"4211038023","42110380"
"강원도 춘천시 북산면","4211038000",27,503,428,957,"4211038024","42110380"
"강원도 춘천시 북산면","4211038000",27,503,428,957,"4211038025","42110380"
"강원도 춘천시 북산면","4211038000",27,503,428,957,"4211038026","42110380"
"강원도 춘천시 북산면","4211038000",27,503,428,957,"4211038027","42110380"
"강원도 춘천시 북산면","4211038000",27,503,428,957,"4211038028","42110380"
"강원도 춘천시 북산면","4211038000",27,503,428,957,"4211038029","42110380"
"강원도 춘천시 북산면","4211038000",27,503,428,957,"4211038030","42110380"
"강원도 춘천시 동내면","4211039000",2334,12316,2639,17286,"4211039000","42110390"
"강원도 춘천시 동내면","4211039000",2334,12316,2639,17286,"4211039021","42110390"
"강원도 춘천시 동내면","4211039000",2334,12316,2639,17286,"4211039022","42110390"
"강원도 춘천시 동내면","4211039000",2334,12316,2639,17286,"4211039023","42110390"
"강원도 춘천시 동내면","4211039000",2334,12316,2639,17286,"4211039024","42110390"
"강원도 춘천시 동내면","4211039000",2334,12316,2639,17286,"4211039025","42110390"
"강원도 춘천시 남산면","4211040000",154,2127,1226,3504,"4211040000","42110400"
"강원도 춘천시 남산면","4211040000",154,2127,1226,3504,"4211040022","42110400"
"강원도 춘천시 남산면","4211040000",154,2127,1226,3504,"4211040023","42110400"
"강원도 춘천시 남산면","4211040000",154,2127,1226,3504,"4211040024","42110400"
"강원도 춘천시 남산면","4211040000",154,2127,1226,3504,"4211040025","42110400"
"강원도 춘천시 남산면","4211040000",154,2127,1226,3504,"4211040026","42110400"
"강원도 춘천시 남산면","4211040000",154,2127,1226,3504,"4211040027","42110400"
"강원도 춘천시 남산면","4211040000",154,2127,1226,3504,"4211040028","42110400"
"강원도 춘천시 남산면","4211040000",154,2127,1226,3504,"4211040029","42110400"
"강원도 춘천시 남산면","4211040000",154,2127,1226,3504,"4211040030","42110400"
"강원도 춘천시 남산면","4211040000",154,2127,1226,3504,"4211040031","42110400"
"강원도 춘천시 교동","4211052000",170,2544,870,3581,"4211012200","42110122"
"강원도 춘천시 조운동","4211053000",140,1922,806,2866,"4211010800","42110108"
"강원도 춘천시 조운동","4211053000",140,1922,806,2866,"4211011000","42110110"
"강원도 춘천시 약사명동","4211054500",136,1421,691,2245,"4211010500","42110105"
"강원도 춘천시 약사명동","4211054500",136,1421,691,2245,"4211010600","42110106"
"강원도 춘천시 약사명동","4211054500",136,1421,691,2245,"4211010900","42110109"
"강원도 춘천시 약사명동","4211054500",136,1421,691,2245,"4211011100","42110111"
"강원도 춘천시 근화동","4211057000",1323,5920,1631,8869,"4211011300","42110113"
"강원도 춘천시 근화동","4211057000",1323,5920,1631,8869,"4211011700","42110117"
"강원도 춘천시 근화동","4211057000",1323,5920,1631,8869,"4211012900","42110129"
"강원도 춘천시 소양동","4211058000",1110,6759,1867,9725,"4211010100","42110101"
"강원도 춘천시 소양동","4211058000",1110,6759,1867,9725,"4211010200","42110102"
"강원도 춘천시 소양동","4211058000",1110,6759,1867,9725,"4211010300","42110103"
"강원도 춘천시 소양동","4211058000",1110,6759,1867,9725,"4211010400","42110104"
"강원도 춘천시 소양동","4211058000",1110,6759,1867,9725,"4211010700","42110107"
"강원도 춘천시 소양동","4211058000",1110,6759,1867,9725,"4211011400","42110114"
"강원도 춘천시 소양동","4211058000",1110,6759,1867,9725,"4211011500","42110115"
"강원도 춘천시 소양동","4211058000",1110,6759,1867,9725,"4211011600","42110116"
"강원도 춘천시 후평1동","4211060000",892,8397,2568,11854,"4211012000","42110120"
"강원도 춘천시 후평2동","4211061000",1952,10758,2265,14969,"4211012000","42110120"
"강원도 춘천시 후평3동","4211061100",2647,14923,3614,21183,"4211012000","42110120"
"강원도 춘천시 효자1동","4211062000",547,3083,952,4580,"4211011200","42110112"
"강원도 춘천시 효자2동","4211063000",684,8595,2678,11950,"4211011200","42110112"
"강원도 춘천시 효자3동","4211064000",250,3318,954,4520,"4211011200","42110112"
"강원도 춘천시 석사동","4211065000",4642,25862,4972,35471,"4211011200","42110112"
"강원도 춘천시 석사동","4211065000",4642,25862,4972,35471,"4211012400","42110124"
